"","Study_site","file","Study_Name","Site_Name","Observational","Latitude__decimal_degrees","Longitude__Decimal_Degrees","Altitude__m","Country","Sample_StartDate_Month","Sample_StartDate_Year","Sample_EndDate_Month","Sample_EndDate_Year","ExtractionMethod","Sampled_Area","Sampled_Area_Unit","Sample_Effort","PH","PH_Collection_Method","Organic_Carbon__percent","Soil_Organic_Matter__percent","C.N_ratio","Sand__percent","Silt__percent","Clay__percent","Soil_Moisture_percent","Water_Holding_Capacity_percent__versus_dry_weight","SoilType","LandUse","HabitatCover","SpeciesRichness","SpeciesRichnessUnit","Habitat_as_described","Site_WetBiomass","Site_WetBiomassUnits","NumberofSpecies","Site_NumberofIndividuals","ph_new"
"1","Singh_India Beas River, Purana Shala XVII","000_Singh2016","Singh_India","Beas River, Purana Shala XVII","Observational",31.995,75.5097222,225,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,9.3,"Unknown",0.69,NA,NA,NA,NA,NA,88,NA,"Sandy loam","Unknown","Herbaceous",1,"Number of species","Along the river side",NA,NA,1,NA,9.3
"2","Singh_India Botanical Garden, Khalsa College, Amritsar III","000_Singh2016","Singh_India","Botanical Garden, Khalsa College, Amritsar III","Observational",32.0561944,75.4542222,220,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,9.15,"Unknown",1.28,NA,NA,NA,NA,NA,94,NA,"Sandy loam","Unknown","Herbaceous",3,"Number of species","Garden",NA,NA,3,NA,9.15
"3","Singh_India Company Bag, Amritsar V","000_Singh2016","Singh_India","Company Bag, Amritsar V","Observational",31.6387778,74.8543611,226,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.59,"Unknown",2.08,NA,NA,NA,NA,NA,90,NA,"Sandy loam","Unknown","Herbaceous",2,"Number of species","Garden",NA,NA,2,NA,8.59
"4","Singh_India Fatehgarh Churian XVI","000_Singh2016","Singh_India","Fatehgarh Churian XVI","Observational",31.8593889,74.9473333,241,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.9,"Unknown",2.78,NA,NA,NA,NA,NA,79,NA,"Sandy loam","Unknown","Herbaceous",1,"Number of species","Garden",NA,NA,1,NA,8.9
"5","Singh_India Government College, Ajnala I","000_Singh2016","Singh_India","Government College, Ajnala I","Observational",31.840611,74.737278,229,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.9,"Unknown",2.66,NA,NA,NA,NA,NA,83,NA,"Loam","Unknown","Herbaceous",2,"Number of species","Garden",NA,NA,2,NA,8.9
"6","Singh_India Government College, Gurdaspur XII","000_Singh2016","Singh_India","Government College, Gurdaspur XII","Observational",32.091,75.6399222,225,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.31,"Unknown",4.17,NA,NA,NA,NA,NA,82,NA,"Loam","Unknown","Herbaceous",2,"Number of species","Garden",NA,NA,2,NA,8.31
"7","Singh_India Indo Pak Border, Dera Baba Nanak XIX","000_Singh2016","Singh_India","Indo Pak Border, Dera Baba Nanak XIX","Observational",32.0468889,75.0277222,263,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.87,"Unknown",1.62,NA,NA,NA,NA,NA,89,NA,"Silt loam","Unknown","Cropland/Other vegetation mosaic",1,"Number of species","Vegetable",NA,NA,1,NA,8.87
"8","Singh_India Mango Garden, Keshopur XIV","000_Singh2016","Singh_India","Mango Garden, Keshopur XIV","Observational",32.1247778,75.6740694,222,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.45,"Unknown",3.24,NA,NA,NA,NA,NA,83,NA,"Clay loam","Unknown","Cropland/Other vegetation mosaic",1,"Number of species","Mango Garden",NA,NA,1,NA,8.45
"9","Singh_India Nursery, Guru Nanak Dev University, Amritsar VI","000_Singh2016","Singh_India","Nursery, Guru Nanak Dev University, Amritsar VI","Observational",32.0588889,75.3852778,221,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.03,"Unknown",2.2,NA,NA,NA,NA,NA,95,NA,"Loam","Unknown","Herbaceous",3,"Number of species","Nursery",NA,NA,3,NA,8.03
"10","Singh_India Nursery, Khalsa College, Amritsar II","000_Singh2016","Singh_India","Nursery, Khalsa College, Amritsar II","Observational",31.5062778,75.4541944,219,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,9.36,"Unknown",1.62,NA,NA,NA,NA,NA,82,NA,"Sandy clay loan","Unknown","Herbaceous",1,"Number of species","Flower",NA,NA,1,NA,9.36
